gender;sum_folds;age_17_29;age_30_39;age_40_49;age_more_50
1;15;4.8;;;
1;20;8.1;12.2;12.2;12.6
1;25;10.5;14.2;15;15.6
1;30;12.9;16.2;17.7;18.6
1;35;14.7;17.7;19.6;20.8
1;40;16.4;19.2;21.4;22.9
1;45;17.7;20.4;23;24.7
1;50;19;21.5;24.6;26.5
1;55;20.1;22.5;25.9;27.9
1;60;21.2;23.5;27.1;29.2
1;65;22.2;24.3;28.2;30.4
1;70;23.1;25.1;29.3;31.6
1;75;24;25.9;30.3;32.7
1;80;24.8;26.6;31.2;33.8
1;85;25.5;27.2;32.1;34.8
1;90;26.2;27.8;33;35.8
1;95;26.9;28.4;33.7;36.6
1;100;27.6;29;34.4;37.4
1;105;28.2;29.6;35.1;38.2
1;110;28.8;30.1;35.8;39
1;115;29.4;30.6;36.4;39.7
1;120;30;31.1;37;40.4
1;125;31;31.5;37.6;41.1
1;130;31.5;31.9;38.2;41.8
1;135;32;32.3;38.7;42.4
1;140;32.5;32.7;39.2;43
1;145;32.9;33.1;39.7;43.6
1;150;33.3;33.5;40.2;44.1
1;155;33.7;33.9;40.7;44.6
1;160;34.1;34.3;41.2;45.1
1;165;34.5;34.6;41.6;45.6
1;170;34.9;34.8;42;46.1
1;175;35.3;;;
1;180;35.6;;;
1;185;35.9;;;
2;15;10.5;;;
2;20;14.1;17;19.8;21.4
2;25;16.8;19.4;22.2;24
2;30;19.5;21.8;24.5;26.6
2;35;21.5;23.7;26.4;28.5
2;40;23.4;25.5;28.2;30.3
2;45;25;26.9;29.6;31.9
2;50;26.5;28.2;31;33.4
2;55;27.8;29.4;32.1;34.6
2;60;29.1;30.6;33.2;35.7
2;65;30.2;31.6;34.1;36.7
2;70;31.2;32.5;35;37.7
2;75;32.2;33.4;35.9;38.7
2;80;33.1;34.3;36.7;39.6
2;85;34;35.1;37.5;40.4
2;90;34.8;35.8;38.3;41.2
2;95;35.6;36.5;39;41.9
2;100;36.4;37.2;39.7;42.6
2;105;37.1;37.9;40.4;43.3
2;110;37.8;38.6;41;43.9
2;115;38.4;39.1;41.5;44.5
2;120;39;39.6;42;45.1
2;125;39.6;40.1;42.5;45.7
2;130;40.2;40.6;43;46.2
2;135;40.8;41.1;43.5;46.7
2;140;41.3;41.6;44;47.2
2;145;41.8;42.1;44.5;47.7
2;150;42.3;42.6;45;48.2
2;155;42.8;43.1;45.4;48.7
2;160;43.3;43.6;45.8;49.2
2;165;43.7;44;46.2;49.6
2;170;44.1;44.4;46.6;50
2;175;;44.8;47;50.4
2;180;;45.2;47.4;50.8
2;185;;45.6;47.8;51.2
2;190;;45.9;48.2;51.6
2;195;;46.2;48.5;52
2;200;;46.5;48.8;52.4
2;205;;;49.1;52.7
2;210;;;49.4;53
