food,food_group_id,quantity,unity,gross_weight,net_weight,energy,proteins,lipids,carbohydrates,fiber,vitamin_A,ascorbic_acid,folic_acid,airon_NO,potassium,glycemic_iex,glycemic_charge,sugar_equivalent
Brócoli,1,1,taza,88,71,19,1.1,0.3,2.1,1.1,110.2,66.4,50.2,0.6,231.7,ND,ND,
Calabacitas,1,1,pieza,111,91,21,31.12,0.1,2.1,31.12,11.1,10.1,22.1,0.5,183.9,ND,ND,
Coliflor,1,2,taza,200,80,20,31.12,0.1,3.1,2,0.8,37.1,45.6,0.4,242.4,ND,ND,
Champiñón,1,1,taza,96,93,20,1.1,0.3,2.1,0.9,0,2,13.1,0.5,296.1,ND,ND,
Chayotes,1,01/02/20,pieza,102,100,19,0.8,0.1,3.1,31.12,0,6.1,93.5,0.3,125.6,ND,ND,
Hojas verdes,1,1,pieza,1,1,3,0.1,0.1,0.7,0,,,,,,,,
Nopales,1,2,pieza,140,134,22,1.8,0.1,4.5,3.2,30.9,12.5,4,0.8,345.4,0,0,
Zanahorias,1,0.5,taza,64,64,26,0.6,0.2,4.3,1.8,534.4,3.8,12.2,0.2,204.8,47,2,
Guayabas,2,3,pieza,135,124,63,1,0.7,14.8,7,39.7,227.3,0,0.4,252.7,0,0,0
Mango,2,0.5,pieza,95,62,40,0.3,0.2,10.5,1.1,84.6,17.3,0,0.1,96.3,0,0,
Manzana,2,1,pieza,138,106,55,0.3,0.2,14.7,2.6,5.4,6.2,3.1,0.2,122.4,38,5.6,
Melón,2,01/03/20,pieza,271,179,61,31.12,0.3,13.1,31.12,225.6,64.5,29.1,0.4,553.4,14.1,65,9.5
Papaya,2,1,taza,140,140,55,0.8,0.1,12.1,1.1,28.1,86.5,53.2,0.1,359.8,0,59,8.1
Pera,2,01/02/20,pieza,95,81,47,0.3,0.1,11.1,1.1,31.12,2.1,4.1,0.2,101.2,7.9,38,4.7
Piña,2,03/04/20,taza,124,124,62,0.7,0.1,15.1,31.12,1.1,18.1,11.1,0.5,139.7,12.2,59,9.6
Sandía,2,1,taza,160,160,48,1,0.2,11.1,0.6,59,15,4,0.3,186,9.9,72,8.7
Uva,2,18,pieza,126,86,61,0.6,0.5,14.1,31.12,31.12,8.1,2.1,0.2,158.5,0,43,6.6
Arroz,3,19/1,g,20,20,72,31.12,0.1,14.1,ND,1.8,31.12,0.2,0.2,ND,ND,ND,
